pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
GJ 414 A c,4.441747572815534,11.8893000,167.7745044,30.4451688,29.532551195048427,117.7529375152448,
GJ 422 b,0,12.6631000,168.9810458,-57.5425629,no data,8.765626110510064,
GJ 4276 b,2,21.3362000,336.3221454,59.4125030,no data,3.843233565489637,
GJ 433 b,2,9.0645600,173.8619194,-32.5436302,no data,6.839824547468382,
GJ 433 c,2,9.0645600,173.8619194,-32.5436302,no data,531.6308789395183,
GJ 433 d,2,9.0645600,173.8619194,-32.5436302,no data,19.636915636280193,
GJ 436 b,1.5,9.7532100,175.5505363,26.7030669,25.002092117027395,2.9836330808010905,
GJ 463 b,2,18.3554000,185.7440496,64.0324311,no data,192.31397844775924,
GJ 480 b,0,14.2358000,189.7134226,11.6950708,no data,4.776689754000478,
GJ 486 b,5.114867071333333,8.0742600,191.9815310,9.7494181,27.03171419845062,2.1215566503927294,
GJ 504 b,3.4774028571967763,17.5299000,199.1923480,9.4249781,no data,2481.4745092670237,
GJ 514 b,2,7.6177800,202.5040424,10.3725387,no data,55.3967166287291,
GJ 536 b,2,10.4092000,210.2597264,-2.6522901,no data,6.399146908504016,
GJ 581 b,4,6.2981000,229.8564725,-7.7226935,no data,6.447976373827028,
GJ 581 c,4,6.2981000,229.8564725,-7.7226935,no data,11.447896984804942,
GJ 581 e,4,6.2981000,229.8564725,-7.7226935,no data,4.469601943443261,
GJ 625 b,2,6.4724900,246.3557854,54.3033625,no data,12.106778071499532,
GJ 649 b,2,10.3796000,254.5363221,25.7419719,no data,107.13322286022583,
GJ 667 C b,4,7.2439600,259.7510609,-34.9977651,no data,no data,
GJ 667 C c,6,7.2439600,259.7510609,-34.9977651,no data,17.25575513945411,
GJ 667 C e,6,7.2439600,259.7510609,-34.9977651,no data,29.403806757629805,
GJ 667 C f,6,7.2439600,259.7510609,-34.9977651,no data,21.53518241403873,
GJ 667 C g,6,7.2439600,259.7510609,-34.9977651,no data,75.78727657248245,
GJ 674 b,2,4.5489600,262.1700476,-46.8989826,no data,8.573388203017833,
GJ 676 A b,3,16.0272000,262.5448903,-51.6377777,no data,108.25346910252571,
GJ 676 A c,3,16.0272000,262.5448903,-51.6377777,no data,606.8433662773286,
GJ 676 A d,3,16.0272000,262.5448903,-51.6377777,no data,2.433363282419886,
GJ 676 A e,3,16.0272000,262.5448903,-51.6377777,no data,11.29330138764101,
GJ 680 b,0,9.6731500,263.8072214,-48.6788427,no data,1048.0557005732362,
GJ 682 b,3,5.0067100,264.2610245,-44.3232519,no data,15.978556776805528,
GJ 682 c,3,5.0067100,264.2610245,-44.3232519,no data,35.152824908972164,
GJ 685 b,2,14.3155000,263.8960378,61.6793482,no data,9.388425133596451,
GJ 687 b,1,4.5493900,264.1041731,68.3336741,no data,35.82897926974825,
GJ 687 c,1,4.5493900,264.1041731,68.3336741,no data,256.0782874187529,
GJ 720 A b,4.7905236907730675,15.5575000,278.8294172,45.7456038,no data,7.649043869516311,
GJ 724 b,3.8314238952536828,16.9658000,280.2383650,-13.3824997,no data,2.761437715875467,
GJ 740 b,2,11.1017000,284.4997178,5.9028670,no data,2.612212544024789,
GJ 806 b,6.111570949815443,12.0445000,311.2697002,44.5002351,26.02234377301229,1.1673377890323384,
GJ 806 c,5.283673469387756,12.0445000,311.2697002,44.5002351,no data,4.3422308937689404,
